FIPS_city,St,City,County,Pop_2005,Latitude,Longitude
103076,AL,Auburn,Lee,49928,32.5929,-85.480322
105980,AL,Bessemer,Jefferson,28641,33.375236,-86.960601
107000,AL,Birmingham,"Jefferson, Shelby",231483,33.527746,-86.799223
120104,AL,Decatur,"Limestone, Morgan",54909,34.571833,-86.988166
121184,AL,Dothan,"Dale, Henry, Houston",62713,31.23595,-85.405299
126896,AL,Florence,Lauderdale,36480,34.82785,-87.665057
128696,AL,Gadsden,Etowah,37405,34.01,-86.014405
135800,AL,Homewood,Jefferson,23963,33.4648,-86.806999
135896,AL,Hoover,"Jefferson, Shelby",67469,33.375332,-86.819037
137000,AL,Huntsville,"Limestone, Madison",166313,34.707048,-86.627723
145784,AL,Madison,"Limestone, Madison",35893,34.702904,-86.749679
150000,AL,Mobile,Mobile,191544,30.67745,-88.088959
151000,AL,Montgomery,Montgomery,200127,32.3544,-86.284287
159472,AL,Phenix City,"Lee, Russell",29460,32.465509,-85.01461
162328,AL,Prattville,"Autauga, Elmore",30043,32.4617,-86.446691
162496,AL,Prichard,Mobile,27963,30.7731,-88.130673
177256,AL,Tuscaloosa,Tuscaloosa,81358,33.2377,-87.540979
178552,AL,Vestavia Hills,"Jefferson, Shelby",31022,33.433567,-86.787559
203000,AK,Anchorage,Anchorage,275043,61.178368,-149.186416
224230,AK,Fairbanks,Fairbanks North Star,31324,64.837088,-147.649045
236400,AK,Juneau,Juneau,30987,58.388588,-134.133421
402830,AZ,Apache Junction,"Maricopa, Pinal",32297,33.405,-111.546999
404720,AZ,Avondale,Maricopa,66706,33.420072,-112.324044
410530,AZ,Casa Grande,Pinal,32855,32.892313,-111.735927
412000,AZ,Chandler,Maricopa,234939,33.295,-111.866856
423620,AZ,Flagstaff,Coconino,57391,35.189005,-111.619768
427400,AZ,Gilbert,Maricopa,173989,33.332032,-111.764189
427820,AZ,Glendale,Maricopa,239435,33.584128,-112.20159
439370,AZ,Lake Havasu City,Mohave,55338,34.502866,-114.314272
446000,AZ,Mesa,Maricopa,442780,33.417736,-111.740337
451600,AZ,Oro Valley,Pima,38438,32.424972,-110.964657
454050,AZ,Peoria,"Maricopa, Yavapai",138200,33.688481,-112.244464
455000,AZ,Phoenix,Maricopa,1461575,33.54255,-112.071399
457380,AZ,Prescott,Yavapai,40360,34.576007,-112.449076
465000,AZ,Scottsdale,Maricopa,226013,33.685992,-111.870478
466820,AZ,Sierra Vista,Cochise,41908,31.565113,-110.322461
471510,AZ,Surprise,Maricopa,74411,33.664112,-112.468451
473000,AZ,Tempe,Maricopa,161143,33.38835,-111.930639
477000,AZ,Tucson,Pima,515526,32.195816,-110.891717
485540,AZ,Yuma,Yuma,84688,32.67745,-114.620157
515190,AR,Conway,Faulkner,51999,35.088809,-92.453098
523290,AR,Fayetteville,Washington,66655,36.0718,-94.155684
524550,AR,Fort Smith,Sebastian,82481,35.36785,-94.384737
534750,AR,Jacksonville,Pulaski,30367,34.869755,-92.127992
535710,AR,Jonesboro,Craighead,59358,35.821828,-90.685768
541000,AR,Little Rock,Pulaski,184564,34.7224,-92.354076
550450,AR,North Little Rock,Pulaski,58803,34.7884,-92.255437
555310,AR,Pine Bluff,Jefferson,52693,34.2134,-92.018618
560410,AR,Rogers,Benton,48353,36.33125,-94.133449
566080,AR,Springdale,"Benton, Washington",60096,36.181333,-94.145713
568810,AR,Texarkana,Miller,30006,33.450245,-94.015754
574540,AR,West Memphis,Crittenden,28181,35.149747,-90.182163
600562,CA,Alameda,Alameda,70576,37.752767,-122.275886
600884,CA,Alhambra,Los Angeles,87410,34.084,-118.134674
600947,CA,Aliso Viejo,Orange,41541,33.567541,-117.725305
602000,CA,Anaheim,Orange,331804,33.8389,-117.872331
602252,CA,Antioch,Contra Costa,100631,37.988733,-121.798891
602364,CA,Apple Valley,San Bernardino,65156,34.529346,-117.214164
602462,CA,Arcadia,Los Angeles,56153,34.132167,-118.035692
603064,CA,Atascadero,San Luis Obispo,27130,35.485484,-120.687924
603386,CA,Azusa,Los Angeles,47120,34.1381,-117.912256
603526,CA,Bakersfield,Kern,295536,35.3577,-119.004553
603666,CA,Baldwin Park,Los Angeles,78861,34.0828,-117.970779
604870,CA,Bell,Los Angeles,37521,33.97965,-118.178255
604982,CA,Bellflower,Los Angeles,74570,33.888133,-118.126632
604996,CA,Bell Gardens,Los Angeles,45135,33.967277,-118.152767
605108,CA,Belmont,San Mateo,24522,37.51525,-122.295138
605290,CA,Benicia,Solano,26489,38.07185,-122.154093
606000,CA,Berkeley,Alameda,100744,37.86725,-122.29729
606308,CA,Beverly Hills,Los Angeles,35078,34.07925,-118.401368
608100,CA,Brea,Orange,38465,33.923567,-117.867211
608786,CA,Buena Park,Orange,79174,33.8577,-118.003274
608954,CA,Burbank,Los Angeles,104108,34.191317,-118.325713
609066,CA,Burlingame,San Mateo,27380,37.5903,-122.362596
609710,CA,Calexico,Imperial,36005,32.678473,-115.500754
610046,CA,Camarillo,Ventura,61576,34.22255,-119.029434
611194,CA,Carlsbad,San Diego,90773,33.123826,-117.285865
611530,CA,Carson,Los Angeles,93955,33.836183,-118.257889
612048,CA,Cathedral City,Riverside,51713,33.830833,-116.463409
612524,CA,Ceres,Stanislaus,40571,37.599351,-120.956232
612552,CA,Cerritos,Los Angeles,52561,33.867603,-118.068402
613014,CA,Chico,Butte,71427,39.753803,-121.806931
613210,CA,Chino,San Bernardino,77578,34.0069,-117.685998
613214,CA,Chino Hills,San Bernardino,75722,33.974789,-117.748651
613392,CA,Chula Vista,San Diego,210497,32.62845,-117.044733
613588,CA,Citrus Heights,Sacramento,86272,38.69165,-121.286669
613756,CA,Claremont,Los Angeles,35182,34.12185,-117.715734
614218,CA,Clovis,Fresno,86527,36.819633,-119.696023
614890,CA,Colton,San Bernardino,51350,34.0579,-117.322002
615044,CA,Compton,Los Angeles,95659,33.89255,-118.226527
616000,CA,Concord,Contra Costa,123252,37.97325,-121.99987
616350,CA,Corona,Riverside,149387,33.8679,-117.569693
616532,CA,Costa Mesa,Orange,109830,33.66685,-117.912649
616742,CA,Covina,Los Angeles,47850,34.09015,-117.881072
617568,CA,Culver City,Los Angeles,39603,34.0058,-118.396116
617610,CA,Cupertino,Santa Clara,52171,37.314403,-122.047333
617750,CA,Cypress,Orange,47383,33.81635,-118.037911
617918,CA,Daly City,San Mateo,100339,37.687,-122.467432
617946,CA,Dana Point,Orange,35867,33.457,-117.696337
617988,CA,Danville,Contra Costa,41852,37.8144,-121.971381
618100,CA,Davis,Yolo,60709,38.55495,-121.735946
618394,CA,Delano,Kern,45531,35.764844,-119.250428
619192,CA,Diamond Bar,Los Angeles,57975,33.999403,-117.814277
619766,CA,Downey,Los Angeles,109718,33.93815,-118.129899
620018,CA,Dublin,Alameda,39328,37.715911,-121.909908
620956,CA,East Palo Alto,San Mateo,32242,37.46605,-122.132199
621712,CA,El Cajon,San Diego,92487,32.80245,-116.960849
621782,CA,El Centro,Imperial,39636,32.787145,-115.559374
622020,CA,Elk Grove,Sacramento,112338,38.400767,-121.367488
622230,CA,El Monte,Los Angeles,122513,34.0748,-118.027797
622678,CA,Encinitas,San Diego,59525,33.047655,-117.262552
622804,CA,Escondido,San Diego,134085,33.136445,-117.07127
623042,CA,Eureka,Humboldt,25579,40.795319,-124.155679
623182,CA,Fairfield,Solano,104476,38.2525,-122.041655
624638,CA,Folsom,Sacramento,65611,38.676712,-121.146231
624680,CA,Fontana,San Bernardino,163860,34.097733,-117.45734
625338,CA,Foster City,San Mateo,28756,37.563806,-122.244666
625380,CA,Fountain Valley,Orange,55942,33.7109,-117.950324
626000,CA,Fremont,Alameda,200468,37.528506,-121.997122
627000,CA,Fresno,Fresno,461116,36.7806,-119.792874
628000,CA,Fullerton,Orange,132787,33.8848,-117.928054
628168,CA,Gardena,Los Angeles,59891,33.8936,-118.304849
629000,CA,Garden Grove,Orange,166075,33.77875,-117.959375
629504,CA,Gilroy,Santa Clara,45718,37.0101,-121.57809
630000,CA,Glendale,Los Angeles,200065,34.17672,-118.253257
630014,CA,Glendora,Los Angeles,50540,34.14605,-117.843941
631960,CA,Hanford,Kings,47485,36.32504,-119.646935
632548,CA,Hawthorne,Los Angeles,85697,33.91465,-118.347049
633000,CA,Hayward,Alameda,140293,37.627667,-122.104602
633182,CA,Hemet,Riverside,68063,33.731603,-116.997758
633434,CA,Hesperia,San Bernardino,77984,34.419075,-117.302401
633588,CA,Highland,San Bernardino,50892,34.1173,-117.189141
634120,CA,Hollister,San Benito,35941,36.855501,-121.399055
636000,CA,Huntington Beach,Orange,194457,33.691755,-118.008115
636056,CA,Huntington Park,Los Angeles,62491,33.9803,-118.215149
636294,CA,Imperial Beach,San Diego,26374,32.5702,-117.118599
636448,CA,Indio,Riverside,70542,33.7198,-116.228649
636546,CA,Inglewood,Los Angeles,114467,33.95585,-118.343649
636770,CA,Irvine,Orange,186852,33.662114,-117.795807
639220,CA,Laguna Hills,Orange,32198,33.599767,-117.710878
639248,CA,Laguna Niguel,Orange,64664,33.526533,-117.704318
639290,CA,La Habra,Orange,59326,33.9274,-117.950599
639486,CA,Lake Elsinore,Riverside,39258,33.668985,-117.321481
639892,CA,Lakewood,Los Angeles,80467,33.8488,-118.122049
640004,CA,La Mesa,San Diego,53081,32.7696,-117.01887
640032,CA,La Mirada,Los Angeles,49640,33.902117,-118.008766
640130,CA,Lancaster,Los Angeles,134032,34.693064,-118.176425
640340,CA,La Puente,Los Angeles,41762,34.0325,-117.95225
640830,CA,La Verne,Los Angeles,33185,34.118233,-117.770949
640886,CA,Lawndale,Los Angeles,32193,33.88835,-118.352649
641992,CA,Livermore,Alameda,78409,37.691926,-121.763663
