St,City,FIPS_city,Time,OWS_protest,15,30,45,60,100
DE,Dover,1021200,1,0,0,0,0,0,0
DE,Dover,1021200,2,0,0,0,0,0,0
DE,Dover,1021200,3,0,0,0,0,0,0
DE,Dover,1021200,4,0,0,0,0,0,0
DE,Dover,1021200,5,0,0,0,0,0,0
DE,Dover,1021200,6,0,0,0,0,0,0
DE,Dover,1021200,7,0,0,0,0,0,0
DE,Dover,1021200,8,0,0,0,0,0,0
DE,Dover,1021200,9,0,0,0,0,0,0
DE,Dover,1021200,10,0,0,0,0,0,0
DE,Dover,1021200,11,0,0,0,0,0,0
DE,Dover,1021200,12,0,0,0,0,0,0
DE,Dover,1021200,13,0,0,0,0,0,0
DE,Dover,1021200,14,0,0,0,0,0,0
DE,Dover,1021200,15,0,0,0,0,0,0
DE,Dover,1021200,16,0,0,0,0,0,0
DE,Dover,1021200,17,0,0,0,0,0,1
DE,Dover,1021200,18,0,0,0,0,0,1
DE,Dover,1021200,19,0,0,0,0,0,1
DE,Dover,1021200,20,0,0,0,1,2,3
DE,Dover,1021200,21,0,0,0,1,2,3
DE,Dover,1021200,22,0,0,0,1,2,4
DE,Dover,1021200,23,0,0,0,1,2,4
DE,Dover,1021200,24,0,0,0,1,2,4
DE,Dover,1021200,25,0,0,0,1,2,4
DE,Dover,1021200,26,0,0,0,1,2,4
DE,Dover,1021200,27,0,0,0,1,2,4
DE,Dover,1021200,28,0,0,0,1,2,4
DE,Dover,1021200,29,0,0,0,1,2,4
DE,Dover,1021200,30,0,0,0,1,2,4
DE,Dover,1021200,31,0,0,0,1,2,6
DE,Dover,1021200,32,0,0,0,1,2,6
DE,Dover,1021200,33,0,0,0,1,2,6
DE,Dover,1021200,34,0,0,0,1,2,6
DE,Dover,1021200,35,0,0,0,1,2,6
DE,Dover,1021200,36,0,0,0,1,2,6
DE,Dover,1021200,37,0,0,0,1,2,6
DE,Dover,1021200,38,0,0,0,1,2,6
DE,Dover,1021200,39,0,0,0,1,2,6
DE,Dover,1021200,40,0,0,0,1,2,6
DE,Dover,1021200,41,0,0,0,1,2,6
DE,Dover,1021200,42,0,0,0,1,2,6
DE,Dover,1021200,43,0,0,0,1,2,6
DE,Dover,1021200,44,0,0,0,1,2,6
DE,Dover,1021200,45,0,0,0,1,2,6
DE,Dover,1021200,46,0,0,0,1,2,6
DE,Dover,1021200,47,0,0,0,1,2,6
DE,Dover,1021200,48,0,0,0,1,2,6
DE,Dover,1021200,49,0,0,0,1,2,6
DE,Dover,1021200,50,0,0,0,1,2,6
DE,Dover,1021200,51,0,0,0,1,2,6
DE,Dover,1021200,52,0,0,0,1,2,6
DE,Dover,1021200,53,0,0,0,1,2,6
DE,Dover,1021200,54,0,0,0,1,2,6
DE,Dover,1021200,55,0,0,0,1,2,6
DE,Dover,1021200,56,0,0,0,1,2,6
DE,Dover,1021200,57,0,0,0,1,2,6
DE,Dover,1021200,58,0,0,0,1,2,6
DE,Dover,1021200,59,0,0,0,1,2,6
DE,Dover,1021200,60,0,0,0,1,2,6
DE,Dover,1021200,61,0,0,0,1,2,6
DE,Dover,1021200,62,0,0,0,1,2,6
